symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,city-L/100km,highway-L/100km,length_scaled,width_scaled,height_scaled,horsepower_binned,fuel_type_diesel,fuel_type_gas,aspiration_std,aspiration_turbo
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27.0,33.0,7895.0,8.703703703703704,7.121212121212121,0.8049014896684287,0.9055555555555556,0.8913043478260869,Low,0,1,1,0
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27.0,33.0,9095.0,8.703703703703704,7.121212121212121,0.8049014896684287,0.9055555555555556,0.8913043478260869,Low,0,1,1,0
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27.0,33.0,8845.0,8.703703703703704,7.121212121212121,0.8428640076886112,0.9055555555555556,0.9046822742474917,Low,0,1,1,0
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27.0,33.0,10295.0,8.703703703703704,7.121212121212121,0.8428640076886112,0.8680555555555556,0.9046822742474917,Low,0,1,1,0
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465.0,ohc,four,110.0,mpfi,3.15,3.58,9.0,101,5800.0,24.0,28.0,12945.0,9.791666666666666,8.392857142857142,0.8428640076886112,0.9055555555555556,0.9046822742474917,Low,0,1,1,0
1,107,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293.0,ohc,four,110.0,2bbl,3.15,3.58,9.1,100,5500.0,25.0,31.0,10345.0,9.4,7.580645161290323,0.8125901009130225,0.9166666666666666,0.8528428093645485,Low,0,1,1,0
0,122,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337.0,ohc,four,111.0,2bbl,3.31,3.23,8.5,78,4800.0,24.0,29.0,6785.0,9.791666666666666,8.10344827586207,0.8202787121576165,0.8583333333333333,0.8946488294314382,Low,0,1,1,0
2,122,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734.0,ohc,four,119.0,spfi,3.43,3.23,9.2,90,5000.0,24.0,29.0,11048.0,9.791666666666666,8.10344827586207,0.8294089380105718,0.9055555555555556,0.8595317725752508,Low,0,1,1,0
0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176,4750.0,15.0,19.0,32250.0,15.666666666666666,12.368421052631579,0.9591542527630946,0.9666666666666666,0.882943143812709,Medium,0,1,1,0
0,122,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176,4750.0,15.0,19.0,35550.0,15.666666666666666,12.368421052631579,0.9591542527630946,0.9666666666666666,0.882943143812709,Medium,0,1,1,0
0,122,jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950.0,ohcv,twelve,326.0,mpfi,3.54,2.76,11.5,262,5000.0,13.0,17.0,36000.0,18.076923076923077,13.823529411764707,0.921191734742912,0.9805555555555555,0.7993311036789298,High,0,1,1,0
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,30.0,31.0,5195.0,7.833333333333333,7.580645161290323,0.7645362806343105,0.8916666666666667,0.9046822742474917,Low,0,1,1,0
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,31.0,38.0,6095.0,7.580645161290323,6.184210526315789,0.7645362806343105,0.8916666666666667,0.9046822742474917,Low,0,1,1,0
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,31.0,38.0,6795.0,7.580645161290323,6.184210526315789,0.7645362806343105,0.8916666666666667,0.9046822742474917,Low,0,1,1,0
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,31.0,38.0,6695.0,7.580645161290323,6.184210526315789,0.8015377222489188,0.8916666666666667,0.9046822742474917,Low,0,1,1,0
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,ohc,four,91.0,2bbl,3.08,3.15,9.0,68,5000.0,31.0,38.0,7395.0,7.580645161290323,6.184210526315789,0.8015377222489188,0.8916666666666667,0.9046822742474917,Low,0,1,1,0
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17.0,23.0,10945.0,13.823529411764707,10.217391304347826,0.8121095627102355,0.9125000000000001,0.8294314381270904,Low,0,1,1,0
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17.0,23.0,11845.0,13.823529411764707,10.217391304347826,0.8121095627102355,0.9125000000000001,0.8294314381270904,Low,0,1,1,0
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385.0,rotor,two,70.0,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17.0,23.0,13645.0,13.823529411764707,10.217391304347826,0.8121095627102355,0.9125000000000001,0.8294314381270904,Low,0,1,1,0
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500.0,rotor,two,80.0,mpfi,3.3297512437810943,3.255422885572139,9.4,135,6000.0,16.0,23.0,15645.0,14.6875,10.217391304347826,0.8121095627102355,0.9125000000000001,0.8294314381270904,Medium,0,1,1,0
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32.0,8845.0,9.038461538461538,7.34375,0.8543969245555022,0.9236111111111112,0.8979933110367894,Low,0,1,1,0
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32.0,8495.0,9.038461538461538,7.34375,0.8543969245555022,0.9236111111111112,0.9280936454849499,Low,0,1,1,0
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32.0,10595.0,9.038461538461538,7.34375,0.8543969245555022,0.9236111111111112,0.8979933110367894,Low,0,1,1,0
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32.0,10245.0,9.038461538461538,7.34375,0.8543969245555022,0.9236111111111112,0.9280936454849499,Low,0,1,1,0
0,122,mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443.0,ohc,four,122.0,idi,3.39,3.39,22.7,64,4650.0,36.0,42.0,10795.0,6.527777777777778,5.595238095238095,0.8543969245555022,0.9236111111111112,0.9280936454849499,Low,1,0,1,0
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32.0,11245.0,9.038461538461538,7.34375,0.8543969245555022,0.9236111111111112,0.9280936454849499,Low,0,1,1,0
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670.0,ohc,four,140.0,mpfi,3.76,3.16,8.0,120,5000.0,19.0,27.0,18280.0,12.368421052631579,8.703703703703704,0.8409418548774628,0.9180555555555555,0.9096989966555185,Medium,0,1,1,0
0,122,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700.0,ohc,four,134.0,idi,3.43,3.64,22.0,72,4200.0,31.0,39.0,18344.0,7.580645161290323,6.0256410256410255,0.8409418548774628,0.9180555555555555,0.9096989966555185,Low,1,0,1,0
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22.0,25.0,25552.0,10.681818181818182,9.4,0.9173474291206152,0.9763888888888889,0.9448160535117057,Medium,1,0,0,1
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750.0,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22.0,25.0,28248.0,10.681818181818182,9.4,0.9173474291206152,0.9763888888888889,0.9816053511705687,Medium,1,0,0,1
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495.0,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22.0,25.0,28176.0,10.681818181818182,9.4,0.9010091302258529,0.9763888888888889,0.9180602006688964,Medium,1,0,0,1
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770.0,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22.0,25.0,31600.0,10.681818181818182,9.4,0.9735703988467083,0.9958333333333333,0.9414715719063546,Medium,1,0,0,1
-1,122,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155,4750.0,16.0,18.0,34184.0,14.6875,13.055555555555555,0.9735703988467083,0.9958333333333333,0.9448160535117057,Medium,0,1,1,0
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155,4750.0,16.0,18.0,35056.0,14.6875,13.055555555555555,0.8664103796251803,0.9791666666666666,0.8494983277591973,Medium,0,1,1,0
0,122,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,184,4500.0,14.0,16.0,40960.0,16.785714285714285,14.6875,1.0,0.9958333333333333,0.948160535117057,Medium,0,1,1,0
1,122,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715.0,ohcv,eight,304.0,mpfi,3.8,3.35,8.0,184,4500.0,14.0,16.0,45400.0,16.785714285714285,14.6875,0.9572320999519461,1.0,0.9264214046822743,Medium,0,1,1,0
1,122,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910.0,ohc,four,140.0,mpfi,3.78,3.12,8.0,175,5000.0,19.0,24.0,16503.0,12.368421052631579,9.791666666666666,0.857280153772225,0.9444444444444444,0.9163879598662207,Medium,0,1,0,1
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500.0,37.0,41.0,5389.0,6.351351351351352,5.7317073170731705,0.7558865929841423,0.8944444444444445,0.8494983277591973,Low,0,1,1,0
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38.0,6189.0,7.580645161290323,6.184210526315789,0.7558865929841423,0.8944444444444445,0.8494983277591973,Low,0,1,1,0
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38.0,6669.0,7.580645161290323,6.184210526315789,0.7558865929841423,0.8944444444444445,0.8494983277591973,Low,0,1,1,0
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102,5500.0,24.0,30.0,7689.0,9.791666666666666,7.833333333333333,0.7558865929841423,0.8861111111111111,0.8494983277591973,Low,0,1,0,1
3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500.0,23.0,30.0,9959.0,10.217391304347826,7.833333333333333,0.8313310908217203,0.9083333333333334,0.8260869565217391,Low,0,1,0,1
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,25.0,32.0,8499.0,9.4,7.34375,0.8313310908217203,0.9083333333333334,0.8260869565217391,Low,0,1,1,0
3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833.0,ohc,four,156.0,spdi,3.58,3.86,7.0,145,5000.0,19.0,24.0,12629.0,12.368421052631579,9.791666666666666,0.8322921672272945,0.9208333333333333,0.8394648829431439,Medium,0,1,0,1
3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000.0,19.0,24.0,14869.0,12.368421052631579,9.791666666666666,0.8322921672272945,0.9208333333333333,0.8394648829431439,Medium,0,1,0,1
3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000.0,19.0,24.0,14489.0,12.368421052631579,9.791666666666666,0.8322921672272945,0.9208333333333333,0.8394648829431439,Medium,0,1,0,1
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,25.0,32.0,6989.0,9.4,7.34375,0.8284478616049976,0.9083333333333334,0.8628762541806021,Low,0,1,1,0
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,25.0,32.0,8189.0,9.4,7.34375,0.8284478616049976,0.9083333333333334,0.8628762541806021,Low,0,1,1,0
1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500.0,23.0,30.0,9279.0,10.217391304347826,7.833333333333333,0.8284478616049976,0.9083333333333334,0.8628762541806021,Low,0,1,0,1
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500.0,23.0,30.0,9279.0,10.217391304347826,7.833333333333333,0.8284478616049976,0.9083333333333334,0.8628762541806021,Low,0,1,1,0
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37.0,5499.0,7.580645161290323,6.351351351351352,0.794329649207112,0.8861111111111111,0.911371237458194,Low,0,1,1,0
1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017.0,ohc,four,103.0,idi,2.99,3.47,21.9,55,4800.0,45.0,50.0,7099.0,5.222222222222222,4.7,0.794329649207112,0.8861111111111111,0.911371237458194,Low,1,0,1,0
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37.0,6649.0,7.580645161290323,6.351351351351352,0.794329649207112,0.8861111111111111,0.911371237458194,Low,0,1,1,0
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37.0,6849.0,7.580645161290323,6.351351351351352,0.794329649207112,0.8861111111111111,0.911371237458194,Low,0,1,1,0
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37.0,7349.0,7.580645161290323,6.351351351351352,0.8178760211436809,0.8861111111111111,0.8946488294314382,Low,0,1,1,0
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37.0,7299.0,7.580645161290323,6.351351351351352,0.794329649207112,0.8861111111111111,0.911371237458194,Low,0,1,1,0
